id,name,description,count_members
29534144,Лентач,,1079734
66687279,CLIQUE,,224252
76982440,Meduza,"Все, что вам нужно от новостей, — в одном месте.<br><br>iOS: https://mdza.io/superios<br>Android: https://mdza.io/superandroid<br>Chrome: https://mdza.io/superchrome<br>WINDOWS: https://mdza.io/windows",147552
70493648,кусочек фильма,,312875
57354358,Подслушано HSE,"Здесь вы можете поделиться любыми секретами и ситуациями из жизни, имеющими то или иное отношение к HSE.<br><br>✔ Анонимность гарантируется. <br><br>Есть два способа добавить секрет:<br>1. Предложить новость в сообществе. Секрет опубликуется без вашего авторства, само собой.<br>2. Написать на sprashivai.ru/overhear_hse<br>____________________________________<br>По вопросам сотрудничества обращаться ко [id339113602|Льву Московскому].",11851
1672730,Афиша,"Пять миллионов человек в месяц узнают из «Афиши» о новых фильмах, музыке, выставках, ресторанах, магазинах и гаджетах.",189038
92262829,Как курсач?,ВСЁ ОЧЕНЬ ПЛОХО,891
97882810,english yopta,whatever people say we are that’s what we are not.<br><br>we've flunked #TOEFL and #IELTS twice<br>:(<br><br>don't forget to repost our stuff.,47417
28261334,TJ,"Новости интернета. Ты либо в тренде, либо уходи.",513346
53845179,че,,951048
66036248,The Вышка,"Твоя Вышка в новом формате - о ком говорят в Университете, о чем спорят, куда ходят и чем занимаются. Будь в тренде, будь с Вышкой.<br><br>Мы интернет-журнал, созданный на базе Высшей школы экономики. Мы пишем и будем писать только о том, что мы и наша аудитория считает нужным и интересным. Мы ждем от вас комментариев, замечаний, предложений на наш адрес thevyshka@gmail.com Мы всегда хотим быть лучше для вас.",14770
4325149,The Village,"Городская интернет-газета: всё о культурной и общественной жизни, развлечениях, услугах, еде и людях в Москве.",239873
32041317,9GAG,Just for fun!<br>Repost of the best jokes from 9gag.com<br>9GAG is your best source of happiness and awesomeness.,391470
93867488,как я не словил незач,"Группа пока ещё студентов, почти готовящихся к сессии",288
39500620,Ложь пабликов ВК | ЛПВК,Разоблачаем ложь. Подтверждаем правду. Делимся проверенными фактами и новостями.<br><br>Подписывайтесь на наш паблик и зовите друзей.<br><br>F.A.Q. (правила группы) : vk.cc/1cyS9m,437372
9836432,Paramount Comedy,"Официальное сообщество телеканала Paramount Comedy. Лучшие зарубежные комедийные шоу круглые сутки на нашем телеканале! ""Теория большого взрыва"", ""Две девицы на мели"", ""Два с половиной человека"", ""Южный парк"", ""Майк и Молли"", стендап от Comedy Central и многое другое! Присоединяйся к нашему сообществу и оставайся в курсе наших новостей!",76819
78242229,Настоящее Время,,8759
33393308,Стартапы и бизнес,"vc.ru – крупнейшая в рунете площадка для предпринимателей нового поколения. Мы пишем о стартапах, растущих бизнесах, новых моделях заработка, неординарных героях со всего мира и технологиях роста.",528825
35595350,Cinemaholics,клуб анонимных киноголиков,298751
48413872,"📖 MAGAZINES, newspapers and e-books in English",,35880
85385226,НАРУШЕНО!,"Свежие фото американских преступниц, сделанные сразу после задержания. <br><br>Материалы взяты из открытых источников и публикуются на законных основаниях (http://vk.com/topic-85385226_31070843)",39649
23303030,Газета «Бумага»,Петербургская интернет-газета<br><br>Срочные новости: https://telegram.me/paperpaper_ru<br><br>Рассылка «Бумаги» без плохих новостей: http://paperpaper.ru/subscribe/,42284
25336774,Duran,"Лучшее из моей головы. <br><br>не забудь подписаться в тви: https://twitter.com/userdie<br><br>Весь контент на стене авторский, то есть придуман и нарисован мной. За указание авторства – спасибо, за указание авторства с обратной ссылкой – СПАСИБО, за неуказание авторства – не попадешь в Вальгаллу, дурачок.",746173
31219902,Денис Чужой,"Работаю сценаристом. Всё, что у меня не покупают, выкладываю здесь. Крепитесь.<br><br>Мой инстаграм:<br>https://instagram.com/fe_city_boy/<br><br>Твиттер:<br>https://twitter.com/fe_city_boy<br><br>Фейсбук:<br>http://www.facebook.com/denischuzhoy (личная страница/блог)<br>http://www.facebook.com/fecityboy<br>(паблик)<br><br>Спрашивалка: <br>http://ask.fm/fe_city_boy",23530
25205856,Высшая школа экономики,Cтраница о жизни<br>Национального исследовательского университета Высшая школа экономики (НИУ ВШЭ),43599
61502323,В рамках культа,,80407
41589556,Сериалы | Фильмы | HD | aMovies.org,Серии (ENG) вышедшие за Понедельник 04.04.2016:<br><br>► Бесстыдники 6 сезон 12 серия(Финал)<br>► Вместе 2 сезон 7 серия<br>► Девочки 5 сезон 7 серия<br>► Куантико 1 сезон 16 серия<br>► Миллиарды 1 сезон 11 серия<br>► Марселла 1 сезон 1 серия(NEW!)<br>► Однажды в сказке 5 сезон 16 серия<br>► Последний человек на Земле 2 сезон 13 серия<br>► Семья 1 сезон 6 серия<br>► Симпсоны 27 сезон 17 серия<br>► Ходячие мертвецы 6 сезон 16 серия(Финал)<br>► 11.22.63 1 сезон 8 серия<br><br>Расписание на всю неделю: <br>vk.com/amovies?w=page-41589556_44081787<br><br>Любая ссылка на другую группу | сайт = бан.<br>Исключение: википедия и кинопоиск.,368617
25414230,ibusiness,Развлекательное издание о бизнесе.,4421
50348171,TED Talks. Ideas worth spreading,"Welcome to the TED community! Find incredible, inspiring talks and a mind-opening experience here!<br>(English videos and audios only)",288868
77086203,хохотач,,2723
11982368,Forbes,Официальная страница русской редакции Forbes,836789
25460145,The Weeknd,"• Настоящее имя: Эйбэл Тесфайе (Abel Tesfaye).<br>• Псевдонимы: Abel, The Noise, The Weeknd.<br>• Место рождения: Скарборо, Канада.<br>• Дата рождения: 16 февраля 1990 года.<br>• Возраст: 26 лет.<br>• Жанр: contemporary R&amp:B, downtempo, post-dubstep, progressive soul.<br>• на сцене с: 2010 - настоящее.<br>• Лейбл: Universal Republic Records<br>• Cотрудничество: Drake, Doc McKinney, Illangelo.<br><br>Проект The Weeknd заставил полюбить r’n’b даже тех, кому этот жанр традиционно претил – здесь стандартные элементы музыки «богатых и красивых» темнокожих приобрели несвойственные им романтические черты. The Weeknd  - это баллады о любви, возвышенные, эротичные и дышащие предрассветной грустью. Здесь не обнаружить напичканных сэмплами танцевальных боевиков, зато можно детально расслышать каждый томительный аккорд, филигранно отыгранный при минимуме выразительных средств. Изначально исполнитель пользовался популярной нынче тактикой раскрутки, скрывая своё лицо и настоящее имя, но дотошные журналисты вскоре выяснили, что за проектом стоит житель Торонто Эйбэл Тесфайе. Популярности песен разгадка  анонима уже не повредит – музыки с таким настроением всё равно никто больше не делает.",60793
34215577,Подслушано,"Здесь только то, что присылают наши читатели.<br><br>Поделиться откровением совершенно анонимно можно только с помощью нашего сайта http://ideer.ru/secrets/add/ или мобильного приложения.<br><br>«Подслушано» - социальный развлекательный проект, в котором люди делятся каждый день своими секретами, откровениями и жизненными ситуациями анонимно перед огромной аудиторией. Добро пожаловать!<br><br>Если вы впечатлительны и высокоморальны, просим вас не читать тот контент, который можно увидеть на стене сообщества, лучше сразу закройте эту страницу и не возвращайтесь сюда никогда :) <br><br>Здесь особенная атмосфера и эмоции от прочитанного здесь очень разнятся.<br><br>Рекомендуемый возраст 18+ <br><br>Зачастую нас стоит читать между строк и никогда во время еды. <br><br>Мнение редакции не всегда совпадает с мнением авторов.",3065872
